Valor,Último,Máximo,Mínimo,Hora
Acciona,197.90,198.90,197.50,09:06
Acciona Ener,21.50,21.70,21.48,09:06
Acerinox,13.30,13.30,13.15,09:06
ACS,106.00,106.30,105.80,09:06
Aena,27.13,27.18,27.00,09:06
Amadeus,48.42,48.92,48.39,09:06
ArcelorMittal,55.36,55.40,54.90,09:06
B. Sabadell,3.33,3.36,3.31,09:06
Bankinter,14.64,14.73,14.48,09:06
BBVA,19.96,20.04,19.93,09:06
CaixaBank,11.04,11.09,11.00,09:06
Cellnex Telecom,30.43,30.54,30.38,09:06
Colonial SFL,5.36,5.38,5.35,09:04
Enagás,14.92,14.99,14.90,09:05
Endesa,31.75,31.89,31.58,09:06
Ferrovial Se,61.44,61.64,61.38,09:06
Fluidra,24.06,24.14,23.94,09:06
Grifols,11.10,11.17,11.08,09:06
IAG,5.02,5.02,4.98,09:06
Iberdrola,19.79,19.90,19.78,09:06
Inditex,57.16,57.60,57.16,09:06
Indra,53.75,53.95,53.30,09:06
Logista,33.64,33.78,33.60,09:06
Mapfre,3.99,4.00,3.98,09:05
Merlin Properties,13.80,13.87,13.78,09:06
Naturgy,25.60,25.74,25.56,09:05
Puig Brands B,16.15,16.23,16.15,09:05
Redeia,15.95,16.02,15.90,09:05
Repsol,18.23,18.30,18.09,09:06
ROVI,78.45,78.55,78.20,09:06
Sacyr,4.40,4.41,4.40,09:06
B. Santander,10.91,10.92,10.82,09:06
Solaria,18.72,18.76,18.68,09:04
Telefónica,3.58,3.61,3.58,09:06
Unicaja Banco,2.75,2.76,2.74,09:05
Acciona,196.40,198.90,196.20,09:16
Acciona Ener,21.44,21.70,21.28,09:14
Acerinox,13.24,13.32,13.15,09:16
ACS,105.30,106.30,105.10,09:16
Aena,27.16,27.20,27.00,09:16
Amadeus,48.42,48.92,48.13,09:16
ArcelorMittal,54.96,55.40,54.90,09:16
B. Sabadell,3.33,3.36,3.31,09:16
Bankinter,14.57,14.73,14.48,09:16
BBVA,19.96,20.04,19.93,09:16
CaixaBank,10.96,11.09,10.93,09:16
Cellnex Telecom,30.46,30.56,30.35,09:16
Colonial SFL,5.35,5.38,5.35,09:16
Enagás,14.97,14.99,14.90,09:16
Endesa,31.98,32.01,31.58,09:16
Ferrovial Se,61.38,61.64,61.30,09:16
Fluidra,24.04,24.14,23.88,09:16
Grifols,11.06,11.17,11.02,09:16
IAG,5.03,5.04,4.98,09:16
Iberdrola,19.84,19.90,19.75,09:16
Inditex,57.50,57.60,57.16,09:16
Indra,53.20,53.95,53.10,09:16
Logista,33.74,33.78,33.60,09:15
Mapfre,3.98,4.00,3.98,09:16
Merlin Properties,13.75,13.87,13.70,09:15
Naturgy,25.60,25.74,25.52,09:16
Puig Brands B,16.25,16.25,16.13,09:16
Redeia,16.02,16.02,15.90,09:16
Repsol,18.20,18.30,18.08,09:16
ROVI,78.30,78.55,78.00,09:14
Sacyr,4.41,4.41,4.38,09:16
B. Santander,10.87,10.94,10.82,09:16
Solaria,18.52,18.76,18.42,09:16
Telefónica,3.60,3.61,3.58,09:16
Unicaja Banco,2.75,2.77,2.74,09:16
